Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,691017,-,-,-,30.97,-97.26,-6,169,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,
2018,1,2,11,30,0,1.25,0.077,0.63,96,889,594,0,4,-12.700000000000001,298,43,0,322,0.326,37.96,55.9,0.9500000000000001,0.17,1014,0.9,20,2.6,,,,,,,,,,,,,,,,,,
2018,1,2,12,30,0.4,1.23,0.088,0.63,102,895,630,0,4,-12.3,247,2,0,248,0.324,37.88,53.81,0.96,0.17,1013,0.9,7,2.5,,,,,,,,,,,,,,,,,,
2018,1,2,13,30,0.6000000000000001,1.22,0.091,0.63,101,879,599,0,4,-11.9,197,1,0,198,0.323,38.5,55.49,0.96,0.17,1012,0.9,178,2.6,,,,,,,,,,,,,,,,,,
2018,1,2,14,30,0.4,1.21,0.095,0.63,96,828,502,0,4,-11.5,117,0,0,117,0.322,40.32,60.63,0.96,0.17,1011,1,351,2.8000000000000003,,,,,,,,,,,,,,,,,,
2018,1,2,15,30,-0.2,1.18,0.101,0.63,85,730,353,0,4,-11.200000000000001,58,0,0,58,0.321,43.46,68.43,0.96,0.17,1011,1,348,3,,,,,,,,,,,,,,,,,,
2018,1,2,16,30,-1.3,1.16,0.10300000000000001,0.63,61,535,172,0,0,-10.8,61,535,0,172,0.321,48.53,78.08,0.96,0.17,1011,1,350,2.5,,,,,,,,,,,,,,,,,,
2018,1,2,17,30,-2.6,1.17,0.10200000000000001,0.63,14,90,16,0,0,-9.700000000000001,14,90,0,16,0.321,58.27,88.7,0.96,0.17,1012,0.9,177,1.7000000000000002,,,,,,,,,,,,,,,,,,
2018,1,2,18,30,-3.6,1.18,0.094,0.63,0,0,0,0,0,-9.1,0,0,0,0,0.323,65.87,100.85000000000001,0.9500000000000001,0.17,1012,0.8,2,1.4000000000000001,,,,,,,,,,,,,,,,,,
2018,1,2,19,30,-4.6000000000000005,1.21,0.079,0.63,0,0,0,0,0,-9.200000000000001,0,0,0,0,0.326,70.22,113.14,0.9500000000000001,0.17,1013,0.7000000000000001,182,1.5,,,,,,,,,,,,,,,,,,
2018,1,2,20,30,-5.2,1.22,0.069,0.63,0,0,0,0,0,-9.5,0,0,0,0,0.33,71.99,125.78,0.9400000000000001,0.17,1013,0.6000000000000001,357,1.5,,,,,,,,,,,,,,,,,,
2018,1,2,21,30,-5.5,1.23,0.064,0.63,0,0,0,0,0,-9.600000000000001,0,0,0,0,0.334,72.77,138.6,0.9400000000000001,0.17,1013,0.5,351,1.4000000000000001,,,,,,,,,,,,,,,,,,
2018,1,2,22,30,-5.800000000000001,1.25,0.058,0.63,0,0,0,0,0,-9.5,0,0,0,0,0.333,75.34,151.41,0.9400000000000001,0.17,1012,0.5,345,1.3,,,,,,,,,,,,,,,,,,
2018,1,2,23,30,-5.9,1.26,0.053,0.63,0,0,0,0,0,-9.4,0,0,0,0,0.33,76.57000000000001,163.71,0.9400000000000001,0.17,1012,0.4,338,1.3,,,,,,,,,,,,,,,,,,
2018,1,3,0,30,-5.800000000000001,1.26,0.05,0.63,0,0,0,0,0,-9.5,0,0,0,0,0.326,75.28,171.82,0.93,0.17,1012,0.4,329,1.4000000000000001,,,,,,,,,,,,,,,,,,
2018,1,3,1,30,-5.800000000000001,1.26,0.047,0.63,0,0,0,0,0,-9.600000000000001,0,0,0,0,0.324,74.58,165.02,0.93,0.17,1012,0.4,320,1.5,,,,,,,,,,,,,,,,,,
2018,1,3,2,30,-5.7,1.27,0.043000000000000003,0.63,0,0,0,0,0,-9.700000000000001,0,0,0,0,0.322,73.60000000000001,152.87,0.92,0.17,1012,0.4,313,1.7000000000000002,,,,,,,,,,,,,,,,,,
2018,1,3,3,30,-5.7,1.28,0.039,0.63,0,0,0,0,0,-9.700000000000001,0,0,0,0,0.321,73.2,140.08,0.91,0.17,1011,0.4,309,1.8,,,,,,,,,,,,,,,,,,
2018,1,3,4,30,-5.6000000000000005,1.29,0.035,0.63,0,0,0,0,0,-9.700000000000001,0,0,0,0,0.32,72.69,127.24000000000001,0.9,0.17,1011,0.4,310,1.7000000000000002,,,,,,,,,,,,,,,,,,
2018,1,3,5,30,-5.6000000000000005,1.29,0.031,0.63,0,0,0,0,0,-9.600000000000001,0,0,0,0,0.318,73.58,114.57000000000001,0.9,0.17,1011,0.4,308,1.6,,,,,,,,,,,,,,,,,,
2018,1,3,6,30,-5.5,1.29,0.027,0.63,0,0,0,0,0,-9.3,0,0,0,0,0.316,74.47,102.22,0.89,0.17,1011,0.4,301,1.5,,,,,,,,,,,,,,,,,,
2018,1,3,7,30,-4.2,1.28,0.024,0.63,10,116,10,0,0,-9.1,10,116,0,10,0.316,68.67,89.81,0.89,0.17,1011,0.4,293,2,,,,,,,,,,,,,,,,,,
2018,1,3,8,30,-1.5,1.27,0.023,0.63,39,694,169,0,0,-9.600000000000001,39,694,0,169,0.317,54.09,79.24,0.88,0.17,1011,0.5,289,2.3000000000000003,,,,,,,,,,,,,,,,,,
2018,1,3,9,30,2.1,1.25,0.021,0.63,52,867,357,0,0,-9.5,52,867,0,357,0.318,42.07,69.41,0.88,0.17,1011,0.6000000000000001,304,2.6,,,,,,,,,,,,,,,,,,
